EM series	continNum 	Location	pre  	post   	type    	sec-tions   	part-ner Num-ber	post1     	post2   	post3 	post4   
N2U	482	Not NR	PLNR	SAADR,SMBVR	chemical	1	2	SAADR	SMBVR		
N2U	490	Not NR	SDQR	AVAL,AIBL	chemical	1	2	AVAL	AIBL		
N2U	491	Not NR	AFDR	AIYR	chemical	1	1	AIYR			
N2U	493	Not NR	SMDVR	SMDDL,RIAL	chemical	1	2	SMDDL	RIAL		
N2U	494	Not NR	ADFR	AIYR,RIAR	chemical	1	2	AIYR	RIAR		
N2U	496	Not NR	ALMR	PVCR	chemical	1	1	PVCR			
N2U	498	Not NR	AWCR	AIYR,AIBR	chemical	1	2	AIYR	AIBR		
N2U	500	Not NR	ASIL	AIYL,AWCR	chemical	1	2	AIYL	AWCR		
N2U	504	Not NR	PVQR	ASKR,AVBR,RIFR	chemical	1	3	ASKR	AVBR	RIFR	
N2U	505	Not NR	SMDVL	RIAR,SMDDR	chemical	1	2	RIAR	SMDDR		
N2U	511	Not NR	BDUR	ALMR,PVNL	chemical	1	2	ALMR	PVNL		
N2U	512	Not NR	ALMR	PVCR	chemical	1	1	PVCR			
N2U	515	Not NR	ALMR	BDUR	chemical	1	1	BDUR			
N2U	525	Not NR	PVQR	RIFR,RMGR	chemical	1	2	RIFR	RMGR		
N2U	526	Not NR	ALMR	PVCR	chemical	1	1	PVCR			
N2U	537	Not NR	PVQL	RMGL,HSNL	chemical	1	2	RMGL	HSNL		
N2U	543	Not NR	ALML	BDUL	chemical	1	1	BDUL			
N2U	546	Not NR	AIYL	AFDL	chemical	1	1	AFDL			
N2U	547	Not NR	ASHL	DROP-unk,AIBL	chemical	1	2	DROP-unk	AIBL		
N2U	548	Not NR	ADLL	AIBL,DROP-unk	chemical	1	2	AIBL	DROP-unk		
N2U	553	Not NR	AIAL	AIBL,ASGL	chemical	1	2	AIBL	ASGL		
N2U	555	Not NR	ASHL	AVBL,DROP-unk	chemical	1	2	AVBL	DROP-unk		
N2U	559	Not NR	SMDVR	RMDDL,RIAL	chemical	1	2	RMDDL	RIAL		
N2U	560	Not NR	RIS	SMDVL,RMDDR	chemical	1	2	SMDVL	RMDDR		
N2U	566	Not NR	RIAL	SMDVR	chemical	1	1	SMDVR			
N2U	575	Not NR	AIZL	RIAL	chemical	1	1	RIAL			
N2U	579	Not NR	SDQL	AVAR,RMFL	chemical	1	2	AVAR	RMFL		
N2U	583	Not NR	SAAVL	RIMR,SMDDR	chemical	1	2	RIMR	SMDDR		
N2U	587	Not NR	SAAVL	SMDDR,AVAL	chemical	1	2	SMDDR	AVAL		
N2U	590	Not NR	SMBVR	SAADR	chemical	1	1	SAADR			
N2U	594	Not NR	PLNR	SAADR,SMBVR	chemical	1	2	SAADR	SMBVR		
N2U	595	Not NR	SMBVR	PLNR,SAADR	chemical	1	2	PLNR	SAADR		
N2U	596	Not NR	PLNR	SAADR,SMBVR	chemical	1	2	SAADR	SMBVR		
N2U	597	Not NR	SMBVR	PLNR,SAADR	chemical	1	2	PLNR	SAADR		
N2U	602	Not NR	ALMR	PVCR	chemical	1	1	PVCR			
N2U	605	Not NR	ASHR	AIAR	chemical	1	1	AIAR			
N2U	608	Not NR	ASKR	AIAR	chemical	1	1	AIAR			
